sample_id,n_pre,n_post,pct_kept,median_umi_post,median_genes_post,pct_mt_median_post,pct_hemo_median_post,pct_mt_max,pct_hemo_max,n_genes_lo,n_genes_hi,total_counts_lo,total_counts_hi,min_counts_floor,min_genes_floor,n_mads,cohort_outlier,cohort_outlier_reason
E1,26263,26251,99.95,7974.0,4167.0,0.0434824600815773,0.0,1.0,5.0,0.0,14723.0,136.7729034423828,460244.59375,500,200,5,False,
E2,22591,22506,99.62,5667.5,3251.0,0.043198615312576294,0.0,1.0,5.0,0.0,10712.0,130.20236206054688,243736.875,500,200,5,False,
MES1,31720,31702,99.94,7296.5,3911.0,0.036363635212183,0.0,1.0,5.0,0.0,11549.0,355.999755859375,149025.65625,500,200,5,False,
MES2,20237,20223,99.93,5042.0,2991.0,0.023391813039779663,0.0,1.0,5.0,0.0,10250.0,162.3167724609375,155349.59375,500,200,5,False,
L1_3mo,31799,31759,99.87,9716.0,4677.0,0.03835826739668846,0.0,1.0,5.0,0.0,14827.0,251.7040252685547,371564.875,500,200,5,False,
L2_3mo,32508,32474,99.9,12315.0,5341.0,0.04606790840625763,0.0,1.0,5.0,0.0,14263.0,530.8121948242188,284594.625,500,200,5,False,
MLS2,23262,23239,99.9,4746.0,2864.0,0.04536793380975723,0.0,1.0,5.0,0.0,8705.0,269.40924072265625,83402.2734375,500,200,5,False,
MLS4,27345,27337,99.97,7881.0,4064.0,0.03996802493929863,0.0,1.0,5.0,0.0,11884.0,359.6861267089844,172198.984375,500,200,5,False,
S1,23911,23888,99.9,7368.0,3883.5,0.0371214933693409,0.0,1.0,5.0,0.0,13498.0,131.211669921875,409606.0625,500,200,5,False,
S2,28033,27999,99.88,10202.0,4832.0,0.043290045112371445,0.0,1.0,5.0,0.0,15611.0,219.53915405273438,469811.125,500,200,5,False,
RelM1,30510,30492,99.94,4968.5,2955.0,0.06339143961668015,0.0,1.0,5.0,0.0,8950.0,282.70404052734375,87047.09375,500,200,5,False,
RelM3,19731,19703,99.86,6429.0,3552.0,0.04397537186741829,0.0,1.0,5.0,0.0,10528.0,347.4845275878906,118382.9375,500,200,5,False,
E1-4WkF1,14333,14309,99.83,6958.0,3643.0,0.04081910476088524,0.0,1.0,5.0,0.0,10574.0,354.6228942871094,135277.40625,500,200,5,False,
E2-4WkF2,16089,16076,99.92,8106.5,3942.0,0.027800945565104485,0.0,1.0,5.0,0.0,10519.0,467.4808044433594,140151.15625,500,200,5,False,
E1-4WkM1,31160,31122,99.88,7504.0,3932.0,0.03354579210281372,0.0,1.0,5.0,0.0,10286.0,611.1129760742188,91906.0078125,500,200,5,False,
E2-4WkM2,29063,29017,99.84,9144.0,4440.0,0.026852846145629883,0.0,1.0,5.0,0.0,11181.0,743.616455078125,111920.515625,500,200,5,False,
L1-4WkF1,17543,17535,99.95,9658.0,4421.0,0.031043848022818565,0.0,1.0,5.0,0.0,12696.0,381.4161376953125,243762.21875,500,200,5,False,
L2-4WkF2,15632,15595,99.76,6144.0,3355.0,0.040768783539533615,0.0,1.0,5.0,0.0,8995.0,423.1808776855469,88933.265625,500,200,5,False,
L1-4WkM1,20618,20434,99.11,9817.5,4621.0,0.026608213782310486,0.0,1.0,5.0,0.0,11656.0,735.927490234375,128402.8515625,500,200,5,False,
L2-4WkM2,16674,16670,99.98,9239.0,4279.0,0.031134866178035736,0.0,1.0,5.0,0.0,12884.0,269.8937072753906,315101.15625,500,200,5,False,
S1-4WkF1,23312,23275,99.84,11504.0,4946.0,0.03837088122963905,0.0,1.0,5.0,0.0,14195.0,393.09332275390625,334238.8125,500,200,5,False,
S2-4WkF2,17548,17213,98.09,9033.0,4306.0,0.03119800239801407,0.0,1.0,5.0,0.0,11854.0,378.9547119140625,202633.296875,500,200,5,False,
S1-4WkM1,20525,20518,99.97,6354.0,3497.5,0.03645975887775421,0.0,1.0,5.0,0.0,10421.0,384.5635986328125,104645.5625,500,200,5,False,
S2-4WkM2,19835,19756,99.6,7915.0,3919.0,0.03076094761490822,0.0,1.0,5.0,0.0,10719.0,445.0046691894531,139930.25,500,200,5,False,
E4,27074,26862,99.22,5962.5,3286.0,0.030084237456321716,0.0,1.0,5.0,0.0,7986.0,652.62353515625,54235.2578125,500,200,5,False,
E7,29837,29103,97.54,5066.0,3000.0,0.1560410112142563,0.0,1.0,5.0,0.0,7294.0,616.3440551757812,41999.0390625,500,200,5,False,
