age,celltype,n_samples,mean_fraction,sem_fraction,min_fraction,max_fraction
3mo,29 CB Glut,12,0.18964411514552837,0.012037087298928698,0.11376212292497173,0.26316606311433005
3mo,01 IT-ET Glut,12,0.16061779151719371,0.005675509422519865,0.1291538336845518,0.18573906340335325
3mo,31 OPC-Oligo,12,0.1510702604035273,0.008737971609311454,0.1075012933264356,0.20143676496147384
3mo,19 MB Glut,12,0.13048240523045276,0.008222352582867843,0.08514345923164209,0.17583349392946618
3mo,05 OB-IMN GABA,12,0.08587326788525174,0.0133685861889881,0.022627823550281864,0.17454206516453233
3mo,34 Immune,12,0.0624138605089987,0.0054854970504881785,0.04408782805167719,0.09627521986549405
3mo,02 NP-CT-L6b Glut,12,0.03987081241565591,0.001771386517513798,0.029552254474830716,0.04904009145740529
3mo,28 CB GABA,12,0.03545212432120944,0.0013249391742996852,0.02902496958461271,0.04335730407852606
3mo,09 CNU-LGE GABA,12,0.034462826102432065,0.005215533389515597,0.012135922330097087,0.06054110422339378
3mo,07 CTX-MGE GABA,12,0.033808539128715766,0.003272260930073341,0.02176203598638353,0.057776064752360766
3mo,06 CTX-CGE GABA,12,0.015017199127314097,0.0007582246597494798,0.012072857067870453,0.020504914241665062
3mo,04 DG-IMN Glut,12,0.013518992767001262,0.000951785160119564,0.007477355945268838,0.017897268104229903
3mo,18 TH Glut,12,0.013369644586734432,0.000918166364623704,0.0067677095153185285,0.016773578363384188
3mo,33 Vascular,12,0.013180686409097432,0.0032217791161549226,0.0024139472507822978,0.04186253849894635
3mo,30 Astro-Epen,12,0.005801927597415789,0.0015588480562125473,0.0004917299955297273,0.01624323198667222
3mo,03 OB-CR Glut,12,0.0038894231093477634,0.0008149208488913325,0.001374637930188031,0.009103349794728387
3mo,23 P Glut,12,0.0029744545168621313,0.00024060917743319504,0.0017846832187286756,0.004334257975034674
3mo,12 HY GABA,12,0.0018566782716603744,0.00021357723032387963,0.0009448322922681224,0.003777221044517248
3mo,24 MY Glut,12,0.0018077705934336685,0.0002739491996006468,0.0006258381761287438,0.0034041173609985413
3mo,32 OEC,12,0.0013870460030566952,0.0005414834740142522,0.0,0.006402982655211542
3mo,16 HY MM Glut,12,0.0011372001571165488,0.00016616947273972695,0.0005249068290378458,0.002119868953555598
3mo,unassigned_glia,12,0.0009509906509520336,0.0003572291432738652,0.0,0.004581424406497293
3mo,17 MH-LH Glut,12,0.0008176862213330402,0.0001827966113464495,0.00013410818059901653,0.0017554915376305365
3mo,08 CNU-MGE GABA,12,0.0005942973297090196,7.383420408719366e-05,0.00015519917227108123,0.0011177490846020427
3mo,Blood: Erythrocyte,12,0.0,0.0,0.0,0.0
3mo,Blood: Erythroid progenitor,12,0.0,0.0,0.0,0.0
3mo,Choroid plexus: Choroid plexus,12,0.0,0.0,0.0,0.0
3mo,Neuron: Cajal-Retzius,12,0.0,0.0,0.0,0.0
3mo,Neuron: Cerebellum GABAergic,12,0.0,0.0,0.0,0.0
3mo,Neuron: Cerebellum glutamatergic,12,0.0,0.0,0.0,0.0
3mo,Neuron: Cortical or hippocampal glutamatergic,12,0.0,0.0,0.0,0.0
3mo,Neuron: Forebrain GABAergic,12,0.0,0.0,0.0,0.0
