celltype,mean_fraction_3mo,mean_fraction_4W,mean_fraction_P1,sem_fraction_3mo,sem_fraction_4W,sem_fraction_P1,n_samples_3mo,n_samples_4W,n_samples_P1
29 CB Glut,0.18964411514552837,0.27614267810527776,0.0,0.012037087298928698,0.01825046327716988,0.0,12.0,12.0,10.0
01 IT-ET Glut,0.16061779151719371,0.15774263331215865,0.0,0.005675509422519865,0.005191492687688175,0.0,12.0,12.0,10.0
31 OPC-Oligo,0.1510702604035273,0.07488319591354685,0.0,0.008737971609311454,0.007590524740938572,0.0,12.0,12.0,10.0
19 MB Glut,0.13048240523045276,0.10653410167996928,0.0,0.008222352582867843,0.006210774067270964,0.0,12.0,12.0,10.0
05 OB-IMN GABA,0.08587326788525174,0.09638394673400978,0.0,0.0133685861889881,0.009419478723986898,0.0,12.0,12.0,10.0
34 Immune,0.0624138605089987,0.05553524892980472,0.0,0.0054854970504881785,0.0024971149217300416,0.0,12.0,12.0,10.0
02 NP-CT-L6b Glut,0.03987081241565591,0.03669493132792182,0.0,0.001771386517513798,0.001306621983168224,0.0,12.0,12.0,10.0
28 CB GABA,0.03545212432120944,0.032899275405273515,0.0,0.0013249391742996852,0.0014453473867935328,0.0,12.0,12.0,10.0
09 CNU-LGE GABA,0.034462826102432065,0.038984169572664436,0.0,0.005215533389515597,0.0016718198251907054,0.0,12.0,12.0,10.0
07 CTX-MGE GABA,0.033808539128715766,0.028340514690444876,0.0,0.003272260930073341,0.0012195258817285393,0.0,12.0,12.0,10.0
06 CTX-CGE GABA,0.015017199127314097,0.013898440633912554,0.0,0.0007582246597494798,0.0005981505008705985,0.0,12.0,12.0,10.0
04 DG-IMN Glut,0.013518992767001262,0.014058280755572425,0.0,0.000951785160119564,0.000846189955925746,0.0,12.0,12.0,10.0
18 TH Glut,0.013369644586734432,0.01198753818044434,0.0,0.000918166364623704,0.0008170165893519329,0.0,12.0,12.0,10.0
33 Vascular,0.013180686409097432,0.025419865493656126,0.0,0.0032217791161549226,0.003254811924484608,0.0,12.0,12.0,10.0
30 Astro-Epen,0.005801927597415789,0.012573117564277697,0.0,0.0015588480562125473,0.0025473181376357394,0.0,12.0,12.0,10.0
03 OB-CR Glut,0.0038894231093477634,0.00590171736315966,0.0,0.0008149208488913325,0.0005701806011016817,0.0,12.0,12.0,10.0
23 P Glut,0.0029744545168621313,0.002595447572760427,0.0,0.00024060917743319504,0.0003100455290163208,0.0,12.0,12.0,10.0
12 HY GABA,0.0018566782716603744,0.0017085627775997117,0.0,0.00021357723032387963,9.9086815047796e-05,0.0,12.0,12.0,10.0
24 MY Glut,0.0018077705934336685,0.0024604153372129772,0.0,0.0002739491996006468,0.0002926163698357692,0.0,12.0,12.0,10.0
32 OEC,0.0013870460030566952,0.0021180392794145158,0.0,0.0005414834740142522,0.0005355375098131673,0.0,12.0,12.0,10.0
16 HY MM Glut,0.0011372001571165488,0.0008413137330589527,0.0,0.00016616947273972695,0.00020948176201135757,0.0,12.0,12.0,10.0
unassigned_glia,0.0009509906509520336,0.0012294232207740988,0.0,0.0003572291432738652,0.0003240394994132087,0.0,12.0,12.0,10.0
17 MH-LH Glut,0.0008176862213330402,0.0010671424170848268,0.0,0.0001827966113464495,0.00018706057767548147,0.0,12.0,12.0,10.0
08 CNU-MGE GABA,0.0005942973297090196,0.0,0.0,7.383420408719366e-05,0.0,0.0,12.0,12.0,10.0
Blood: Erythrocyte,0.0,0.0,0.4710059319178163,0.0,0.0,0.00920264366618197,12.0,12.0,10.0
Choroid plexus: Choroid plexus,0.0,0.0,0.007733947497668347,0.0,0.0,0.0006775409142927881,12.0,12.0,10.0
Neuron: Cajal-Retzius,0.0,0.0,0.0043471260586433694,0.0,0.0,0.0002706703276208894,12.0,12.0,10.0
Neuron: Cerebellum GABAergic,0.0,0.0,0.005957071846496217,0.0,0.0,0.0008638580494898845,12.0,12.0,10.0
Blood: Erythroid progenitor,0.0,0.0,0.0008310383921129713,0.0,0.0,0.00011260866841214874,12.0,12.0,10.0
Neuron: Cerebellum glutamatergic,0.0,0.0,0.03515139099880582,0.0,0.0,0.0037670274063234723,12.0,12.0,10.0
Neuron: Cortical or hippocampal glutamatergic,0.0,0.0,0.25246743407772376,0.0,0.0,0.008454812226536119,12.0,12.0,10.0
Neuron: Mixed region GABAergic,0.0,0.0,0.004063893514593156,0.0,0.0,0.00014837637612018088,12.0,12.0,10.0
Neuron: Forebrain GABAergic,0.0,0.0,0.1597136357213373,0.0,0.0,0.008678477165695852,12.0,12.0,10.0
Olfactory ensheathing cell: Olfactory ensheathing cell,0.0,0.0,0.003606125104823174,0.0,0.0,0.0008031070063276201,12.0,12.0,10.0
Oligodendrocyte: Oligodendrocyte precursor cell,0.0,0.0,0.0332513502169157,0.0,0.0,0.0012258699271872559,12.0,12.0,10.0
Vascular: Endothelial,0.0,0.0,0.013091900465868972,0.0,0.0,0.0008935588268763363,12.0,12.0,10.0
Vascular: Pericyte,0.0,0.0,0.008779154187194856,0.0,0.0,0.000508504895100355,12.0,12.0,10.0
