sample_id,group,age,sex,pool,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,04 DG-IMN Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,08 CNU-MGE GABA,09 CNU-LGE GABA,12 HY GABA,16 HY MM Glut,17 MH-LH Glut,18 TH Glut,19 MB Glut,23 P Glut,24 MY Glut,28 CB GABA,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune,Blood: Erythrocyte,Blood: Erythroid progenitor,Choroid plexus: Choroid plexus,Neuron: Cajal-Retzius,Neuron: Cerebellum GABAergic,Neuron: Cerebellum glutamatergic,Neuron: Cortical or hippocampal glutamatergic,Neuron: Forebrain GABAergic,Neuron: Mixed region GABAergic,Olfactory ensheathing cell: Olfactory ensheathing cell,Oligodendrocyte: Oligodendrocyte precursor cell,Vascular: Endothelial,Vascular: Pericyte,unassigned_glia
E1,Early_Stress,3mo,F,Pool1,0.16298614215467144,0.04072418417523469,0.0021457308895842645,0.014304872597228431,0.04345105051408136,0.018015198927134556,0.04541797049620027,0.0004470272686633885,0.012784979883772911,0.0016540008940545373,0.002101028162717926,0.00013410818059901653,0.014215467143495752,0.1583370585605722,0.0021904336164506035,0.0006258381761287438,0.04032185963343764,0.21341081805990164,0.0004917299955297273,0.13035315154224408,0.0,0.0024139472507822978,0.09347340187751453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,Early_Stress,3mo,F,Pool1,0.13491981376099327,0.03248836006207967,0.0019141231246766683,0.015261251939989654,0.09979306777030522,0.014019658561821004,0.030781169167097777,0.00015519917227108123,0.02074495602690119,0.0014485256078634247,0.0005690636316606311,0.0004138644593895499,0.011433005690636317,0.11914123124676669,0.0021210553543714434,0.0019658561821003623,0.029280910501810656,0.26316606311433005,0.002586652871184687,0.1075012933264356,0.00046559751681324367,0.013088463528194516,0.09627521986549405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046559751681324367
MES1,Early_Stress,3mo,M,Pool1,0.18409744944218867,0.04904009145740529,0.0024835416091772778,0.017897268104229903,0.022627823550281864,0.014585879291993535,0.02779201324555525,0.0005913194307564947,0.05960499862025466,0.0016951157015019514,0.0007095833169077936,0.0016162731107344187,0.015098356131982496,0.12543856191114441,0.003823865652225332,0.0015768518153506524,0.0335869436669689,0.17467575984546851,0.007411203532148066,0.19726416210036662,0.00047305554460519574,0.01218118027358379,0.04430953601135333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014191666338155872
MES2,Early_Stress,3mo,M,Pool1,0.16395342100689417,0.0410752563582643,0.004634725682173687,0.0166270783847981,0.07125890736342043,0.012803429697004808,0.023810903192167315,0.00040553849719019753,0.06054110422339378,0.0011007473495162506,0.0006952088523260529,0.0012166154915705927,0.015062858467064481,0.12334163721684722,0.0038236486877932913,0.003070505764440067,0.02902496958461271,0.15746480505185098,0.008168704014831123,0.20143676496147384,0.0011007473495162506,0.01390417704652106,0.04408782805167719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013904177046521059
L1_3mo,Late_Stress,3mo,F,Pool1,0.1698135107947071,0.041708581598699994,0.001470246846707421,0.015244138357966416,0.07521473342103227,0.016017952487812428,0.03818772730790064,0.0009672676623075137,0.026696587479687377,0.00208929815058423,0.0015863189661843226,0.0003095256519384044,0.013773891511258995,0.15298305347055638,0.0031726379323686453,0.0015089375531997214,0.030643039541902034,0.2044416931053161,0.0018184632051381259,0.14520622146560397,0.0002321442389538033,0.0035595449972916507,0.053044958600944055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003095256519384044
L2_3mo,Late_Stress,3mo,F,Pool1,0.18573906340335325,0.04810175370977067,0.0021584120254384276,0.007477355945268838,0.041318173058392756,0.020504914241665062,0.057776064752360766,0.0011177490846020427,0.01850067450375795,0.003777221044517248,0.002119868953555598,0.0001927153594141453,0.016226633262671035,0.17583349392946618,0.003661591828868761,0.0007323183657737521,0.033994989400655234,0.17190210059741762,0.001888610522258624,0.12106378878396608,0.00023125843129697437,0.003969936403931393,0.08094045095394103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007708614376565812
MLS2,Late_Stress,3mo,M,Pool1,0.13379875072174688,0.029552254474830716,0.008660962679124456,0.014015012335310483,0.16461078158626843,0.012072857067870453,0.0217836334050706,0.00041992546323027665,0.040995223347855755,0.0009448322922681224,0.0005249068290378458,0.001364757755498399,0.008765944044932025,0.09359088761744791,0.0017846832187286756,0.0029394782426119363,0.04335730407852606,0.17447902997217993,0.007296204923626056,0.16214371948979056,0.002834496876804367,0.016901999895018633,0.056584956170279775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005773975119416304
MLS4,Late_Stress,3mo,M,Pool1,0.18014043932301044,0.04366222542311847,0.004726323370543752,0.012738566798703638,0.07778177889809147,0.013908894490457327,0.029798343536190132,0.0007202016564638099,0.041321570039611094,0.0021606049693914295,0.0008552394670507742,0.0017554915376305365,0.01458408354339215,0.11289160965070219,0.0028808066258552397,0.0014854159164566078,0.03682030968671228,0.19724522866402594,0.004006121714079942,0.16001980554555276,0.0012603528988116672,0.012108390349297803,0.04600288080662585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001125315088224703
S1,Relaxed,3mo,F,Pool1,0.14914821542540135,0.04015906524620747,0.001374637930188031,0.010898915017919387,0.08473660955373362,0.017182974127350384,0.041337326329225786,0.0006382247533015858,0.020570474741028032,0.002258333742451765,0.0009327900240561638,0.0004909421179242967,0.011193480288673965,0.1378074525013501,0.0020128626834896167,0.00147282635377289,0.0330894987480976,0.24772939270460012,0.0032893121900927883,0.11551868034758701,0.00039275369433943737,0.00898424075801463,0.06858461387402426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019637684716971869
S2,Relaxed,3mo,F,Pool1,0.16474514563106796,0.03770804438280166,0.001516990291262136,0.009145284327323162,0.06358356449375867,0.016253467406380027,0.043039181692094315,0.0006067961165048543,0.012135922330097087,0.002167128987517337,0.0016036754507628293,0.00034674063800277393,0.016773578363384188,0.16704230235783635,0.004334257975034674,0.0006501386962552011,0.03835818307905686,0.20791435506241332,0.0007801664355062413,0.13843619972260748,0.00021671289875173372,0.004204230235783634,0.06830790568654646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013002773925104022
