leiden,age,n_cells,winner_class,purity,top1_label,top1_frac,top2_label,top2_frac,top3_label,top3_frac,low_purity,markers_checked,markers_present,gate_outcome,gate_label
0,3mo,32691,19 MB Glut,0.1857,19 MB Glut,0.1857,24 MY Glut,0.1492,20 MB GABA,0.1397,True,,,no_gate,
0,4W,19861,19 MB Glut,0.1849,19 MB Glut,0.1849,20 MB GABA,0.1582,24 MY Glut,0.1372,True,,,no_gate,
0,P1,44426,Blood: Erythrocyte,0.3111,Blood: Erythrocyte,0.3111,Blood: Erythroid progenitor,0.2348,Neuron: Mixed region GABAergic,0.0746,True,,,no_gate,
1,3mo,162,08 CNU-MGE GABA,0.3827,08 CNU-MGE GABA,0.3827,24 MY Glut,0.3272,11 CNU-HYa GABA,0.1173,True,,,no_gate,
1,4W,144,24 MY Glut,0.3472,24 MY Glut,0.3472,08 CNU-MGE GABA,0.3333,11 CNU-HYa GABA,0.1528,True,,,no_gate,
1,P1,250,Blood: Erythrocyte,0.44,Blood: Erythrocyte,0.44,Blood: Erythroid progenitor,0.268,Neuron: Mixed region GABAergic,0.068,True,,,no_gate,
10,3mo,205,17 MH-LH Glut,0.8244,17 MH-LH Glut,0.8244,19 MB Glut,0.1024,24 MY Glut,0.0293,False,,,no_gate,
10,4W,210,17 MH-LH Glut,0.8476,17 MH-LH Glut,0.8476,19 MB Glut,0.1095,23 P Glut,0.0143,False,,,no_gate,
10,P1,6174,Neuron: Cerebellum glutamatergic,0.4449,Neuron: Cerebellum glutamatergic,0.4449,Neuroblast: Hindbrain,0.2475,Neuron: Epithalamus glutamatergic,0.093,True,,,no_gate,
11,3mo,25402,01 IT-ET Glut,0.9886,01 IT-ET Glut,0.9886,29 CB Glut,0.0037,24 MY Glut,0.0015,False,,,no_gate,
11,4W,18823,01 IT-ET Glut,0.9888,01 IT-ET Glut,0.9888,04 DG-IMN Glut,0.0037,19 MB Glut,0.0013,False,,,no_gate,
11,P1,18,Blood: Erythrocyte,0.3889,Blood: Erythrocyte,0.3889,Bad cells: Undefined,0.2778,Blood: Erythroid progenitor,0.1667,True,,,no_gate,
12,3mo,7723,01 IT-ET Glut,0.9432,01 IT-ET Glut,0.9432,04 DG-IMN Glut,0.0233,23 P Glut,0.0098,False,,,no_gate,
12,4W,5866,01 IT-ET Glut,0.9385,01 IT-ET Glut,0.9385,04 DG-IMN Glut,0.0346,23 P Glut,0.0095,False,,,no_gate,
12,P1,18,Blood: Erythrocyte,0.2778,Blood: Erythrocyte,0.2778,Blood: Erythroid progenitor,0.2778,Neuroblast: Undefined,0.0556,True,,,no_gate,
13,3mo,1955,01 IT-ET Glut,0.9151,01 IT-ET Glut,0.9151,24 MY Glut,0.0332,23 P Glut,0.0302,False,,,no_gate,
13,4W,1914,01 IT-ET Glut,0.9446,01 IT-ET Glut,0.9446,23 P Glut,0.0261,24 MY Glut,0.0136,False,,,no_gate,
13,P1,1,Neuron: Cortical or hippocampal glutamatergic,1.0,Neuron: Cortical or hippocampal glutamatergic,1.0,,0.0,,0.0,False,,,no_gate,
14,3mo,9069,07 CTX-MGE GABA,0.8118,07 CTX-MGE GABA,0.8118,08 CNU-MGE GABA,0.0862,11 CNU-HYa GABA,0.0355,False,,,no_gate,
14,4W,5672,07 CTX-MGE GABA,0.8244,07 CTX-MGE GABA,0.8244,08 CNU-MGE GABA,0.0841,11 CNU-HYa GABA,0.0268,False,,,no_gate,
14,P1,7777,Neuron: Forebrain GABAergic,0.6316,Neuron: Forebrain GABAergic,0.6316,Blood: Erythrocyte,0.1562,Blood: Erythroid progenitor,0.081,False,,,no_gate,
15,3mo,103,04 DG-IMN Glut,0.8544,04 DG-IMN Glut,0.8544,01 IT-ET Glut,0.0874,05 OB-IMN GABA,0.0194,False,,,no_gate,
15,4W,481,04 DG-IMN Glut,0.9356,04 DG-IMN Glut,0.9356,01 IT-ET Glut,0.0416,05 OB-IMN GABA,0.0083,False,,,no_gate,
15,P1,34688,Neuron: Cortical or hippocampal glutamatergic,0.8017,Neuron: Cortical or hippocampal glutamatergic,0.8017,Blood: Erythrocyte,0.0814,Blood: Erythroid progenitor,0.0503,False,,,no_gate,
16,3mo,618,01 IT-ET Glut,0.9806,01 IT-ET Glut,0.9806,23 P Glut,0.0049,19 MB Glut,0.0049,False,,,no_gate,
16,4W,441,01 IT-ET Glut,0.9887,01 IT-ET Glut,0.9887,23 P Glut,0.0045,19 MB Glut,0.0045,False,,,no_gate,
17,3mo,605,03 OB-CR Glut,0.8198,03 OB-CR Glut,0.8198,19 MB Glut,0.0975,24 MY Glut,0.0314,False,,,no_gate,
17,4W,805,03 OB-CR Glut,0.887,03 OB-CR Glut,0.887,19 MB Glut,0.072,24 MY Glut,0.0211,False,,,no_gate,
17,P1,597,Blood: Erythrocyte,0.4456,Blood: Erythrocyte,0.4456,Neuron: Forebrain glutamatergic,0.3233,Blood: Erythroid progenitor,0.1106,True,,,no_gate,
18,3mo,5,02 NP-CT-L6b Glut,0.6,02 NP-CT-L6b Glut,0.6,05 OB-IMN GABA,0.4,,0.0,True,,,no_gate,
18,4W,16,02 NP-CT-L6b Glut,0.6875,02 NP-CT-L6b Glut,0.6875,01 IT-ET Glut,0.125,05 OB-IMN GABA,0.0625,False,,,no_gate,
18,P1,10780,Neuron: Cortical or hippocampal glutamatergic,0.835,Neuron: Cortical or hippocampal glutamatergic,0.835,Blood: Erythrocyte,0.09,Blood: Erythroid progenitor,0.0399,False,,,no_gate,
19,3mo,3510,18 TH Glut,0.9262,18 TH Glut,0.9262,19 MB Glut,0.0416,24 MY Glut,0.012,False,,,no_gate,
19,4W,2390,18 TH Glut,0.9494,18 TH Glut,0.9494,19 MB Glut,0.0276,24 MY Glut,0.0155,False,,,no_gate,
19,P1,4164,Blood: Erythrocyte,0.3007,Blood: Erythrocyte,0.3007,Blood: Erythroid progenitor,0.2867,Neuron: Forebrain glutamatergic,0.1126,True,,,no_gate,
2,3mo,198,23 P Glut,0.904,23 P Glut,0.904,24 MY Glut,0.0657,19 MB Glut,0.0202,False,,,no_gate,
2,4W,143,23 P Glut,0.9091,23 P Glut,0.9091,24 MY Glut,0.0699,19 MB Glut,0.014,False,,,no_gate,
2,P1,2,Blood: Erythrocyte,0.5,Blood: Erythrocyte,0.5,Bad cells: Undefined,0.5,,0.0,True,,,no_gate,
20,3mo,404,30 Astro-Epen,0.7649,30 Astro-Epen,0.7649,05 OB-IMN GABA,0.198,34 Immune,0.0074,False,"Aqp4,Gja1,Slc1a3,Aldh1l1","Aqp4,Gja1,Slc1a3,Aldh1l1",passed,astrocyte
20,4W,1005,30 Astro-Epen,0.6995,30 Astro-Epen,0.6995,05 OB-IMN GABA,0.2796,33 Vascular,0.007,True,"Aqp4,Gja1,Slc1a3,Aldh1l1","Aqp4,Gja1,Slc1a3,Aldh1l1",passed,astrocyte
20,P1,27650,Blood: Erythrocyte,0.3114,Blood: Erythrocyte,0.3114,Glioblast: Forebrain astrocyte,0.1546,Blood: Erythroid progenitor,0.1414,True,,,no_gate,
