group,names,scores,logfoldchanges,pvals,pvals_adj
29,Gabra6,502.341,8.161487,0.0,0.0
29,Fat2,496.82327,8.044884,0.0,0.0
29,Cbln3,496.67505,7.927098,0.0,0.0
29,Cbln1,491.7164,6.2738514,0.0,0.0
29,Grin2c,486.93335,6.711526,0.0,0.0
29,Grm4,482.34424,5.3309503,0.0,0.0
29,Syne1,482.096,3.353935,0.0,0.0
29,Cadm3,481.97742,3.0979807,0.0,0.0
29,Adcy1,468.4183,3.607568,0.0,0.0
29,Kcnc1,464.5306,3.6497738,0.0,0.0
29,Atp1a1,462.4461,3.2665749,0.0,0.0
29,Kcnc3,459.59888,3.321737,0.0,0.0
29,Neurod1,458.0532,5.1885767,0.0,0.0
29,Car4,447.2113,5.2090416,0.0,0.0
29,Atp1b2,446.55,3.2829657,0.0,0.0
29,Unc13c,446.08264,4.2509484,0.0,0.0
29,Atp2b3,437.65915,3.3299499,0.0,0.0
29,Appl2,433.94818,3.160093,0.0,0.0
29,Gabrd,432.70062,4.273707,0.0,0.0
29,Kcnd2,431.23846,3.0352132,0.0,0.0
0,Tmem130,383.13058,2.821119,0.0,0.0
0,Amy1,361.81827,2.4495876,0.0,0.0
28,Plp1,357.63458,8.94344,0.0,0.0
28,Mag,357.28625,9.510994,0.0,0.0
28,Mbp,356.80392,6.710614,0.0,0.0
28,Trf,356.1357,8.0958,0.0,0.0
28,Mobp,355.6426,7.5313697,0.0,0.0
28,Cldn11,355.23184,8.695013,0.0,0.0
28,Enpp2,354.98822,6.4317575,0.0,0.0
0,Gprasp1,354.9116,1.7658207,0.0,0.0
28,Mog,354.88425,9.368704,0.0,0.0
28,Rrs1,352.81415,6.154901,0.0,0.0
28,Aatk,351.35815,4.049659,0.0,0.0
28,Ugt8a,350.8852,7.489578,0.0,0.0
28,Gatm,350.79428,5.9100366,0.0,0.0
28,Phldb1,348.87006,4.6719365,0.0,0.0
28,Apod,347.61823,7.732304,0.0,0.0
28,Car2,346.7182,6.1070848,0.0,0.0
28,Gjc3,344.8279,7.690344,0.0,0.0
28,Aplp1,344.54752,3.248989,0.0,0.0
28,Mal,343.5973,8.421932,0.0,0.0
28,Fnbp1,343.31308,3.4503922,0.0,0.0
28,Tmeff2,343.2497,3.800854,0.0,0.0
0,Resp18,336.73468,3.2873578,0.0,0.0
0,Zcchc12,332.3368,2.924844,0.0,0.0
11,R3hdm1,323.58337,3.0330026,0.0,0.0
0,Snrpn,317.22556,1.3468691,0.0,0.0
0,Zcchc18,315.72968,1.6733677,0.0,0.0
0,Gprasp2,312.09872,2.0046952,0.0,0.0
11,Kalrn,311.81247,2.9274416,0.0,0.0
0,Rnpc3,311.47116,1.5599636,0.0,0.0
0,Grin2d,310.6187,2.8381796,0.0,0.0
11,Kctd16,309.57275,3.7665613,0.0,0.0
11,Camk2a,308.9706,3.3769739,0.0,0.0
0,Tro,305.90576,1.7695587,0.0,0.0
0,Hap1,305.16757,2.4379473,0.0,0.0
0,Ly6h,304.92053,2.1104283,0.0,0.0
0,Nova1,304.54276,2.1625814,0.0,0.0
0,Ccdc85a,304.0498,2.2546334,0.0,0.0
11,Cck,297.59134,4.0103717,0.0,0.0
0,Ache,297.38397,2.1581087,0.0,0.0
0,Pnck,295.5888,2.0337029,0.0,0.0
0,Mest,295.31387,2.090459,0.0,0.0
11,Lingo1,294.40292,2.8074875,0.0,0.0
11,Phf24,292.43646,2.8268068,0.0,0.0
0,Kif1a,287.65152,1.468151,0.0,0.0
11,Sorbs2,284.41162,2.8516839,0.0,0.0
0,Snhg11,284.05728,2.7086332,0.0,0.0
11,Kcnv1,282.70132,3.7853637,0.0,0.0
15,Cd24a,282.39658,4.00499,0.0,0.0
11,Fbxw7,281.44992,2.558492,0.0,0.0
11,Stx1a,280.45285,2.8865285,0.0,0.0
11,Mlip,279.43362,3.7217245,0.0,0.0
11,Arpp21,276.0191,2.7787914,0.0,0.0
11,Slc30a3,275.8062,4.0840583,0.0,0.0
11,Camk2n1,272.42505,2.4534795,0.0,0.0
11,Nrgn,271.8298,2.7830796,0.0,0.0
11,Adgrb1,268.96185,2.398592,0.0,0.0
11,Cnksr2,268.0735,2.3086195,0.0,0.0
11,Myrip,267.85358,2.8695254,0.0,0.0
11,Dlgap2,266.78836,2.8201678,0.0,0.0
35,Hexb,265.28427,8.552931,0.0,0.0
35,Csf1r,264.42163,10.353831,0.0,0.0
