cluster,n_cells,celltypist_class_majority_pooled,celltypist_class_conf_median,top_markers,manual_annotation
0,96978,19 MB Glut,0.994,"Tmem130, Amy1, Gprasp1",
1,556,Blood: Erythrocyte,0.975,"Slc10a4, Slc5a7, Lhx8",
2,343,23 P Glut,0.997,"Scn4b, Snhg11, Glra1",
3,1575,12 HY GABA,0.992,"Isl1, Esrrg, Gad2",
4,476,16 HY MM Glut,0.944,"Dgkb, Adcyap1, Slc17a6",
5,15495,09 CNU-LGE GABA,0.995,"Gpr88, Adamts3, Rgs9",
6,1831,Neuron: Cerebellum GABAergic,1.0,"Car8, Calb1, Foxp2",
7,3469,19 MB Glut,0.992,"Slc17a6, Sema3f, Tcf7l2",
8,1552,Neuron: Cajal-Retzius,0.999,"Msi2, Clstn2, Trp73",
9,734,28 CB GABA,0.999,"Lgi2, Nrg1, Rgs7bp",
10,6589,Neuron: Cerebellum glutamatergic,0.999,"Zic1, Pax6, Zic2",
11,44243,01 IT-ET Glut,0.997,"R3hdm1, Kalrn, Kctd16",
12,13607,01 IT-ET Glut,0.988,"Cpne6, R3hdm1, Camk2a",
13,3870,01 IT-ET Glut,0.988,"Tshz2, Dkk3, Zbtb16",
14,22518,07 CTX-MGE GABA,0.986,"Nxph1, Gria1, Lhx6",
15,35272,Neuron: Cortical or hippocampal glutamatergic,1.0,"Cd24a, Tubb2b, Celf2",
16,1059,01 IT-ET Glut,0.99,"Nr4a2, Col11a1, Kcnv1",
17,2007,03 OB-CR Glut,0.988,"Eomes, Deptor, Akap13",
18,10801,Neuron: Cortical or hippocampal glutamatergic,1.0,"Islr2, Nin, Sez6",
19,10064,18 TH Glut,0.995,"Ntng1, Tcf7l2, Slc17a6",
20,29059,Blood: Erythrocyte,0.984,"Ptprz1, Slc1a3, Fabp7",
21,52,unassigned_glia,0.982,"Gfy, Ebf4, Carns1",
22,1847,Choroid plexus: Choroid plexus,1.0,"Ttr, Otx2, Ecrg4",
23,11068,Neuron: Forebrain GABAergic,0.997,"Dcx, Igfbpl1, Dlx1",
24,26106,05 OB-IMN GABA,1.0,"Myo16, Meis2, Frmd7",
25,593,05 OB-IMN GABA,0.997,"Serpini1, Adarb2, Adamtsl1",
26,12584,Neuron: Forebrain GABAergic,0.999,"Islr2, Foxp1, Robo1",
27,6790,06 CTX-CGE GABA,0.988,"Zbtb16, Adarb2, Slc2a13",
28,46031,31 OPC-Oligo,1.0,"Plp1, Mag, Mbp",
29,101701,29 CB Glut,1.0,"Gabra6, Fat2, Cbln3",
30,7043,01 IT-ET Glut,0.98,"Prkcg, Cpne6, Cpne7",
31,14478,31 OPC-Oligo,1.0,"Bcan, Gpr17, Olig2",
32,5199,33 Vascular,1.0,"Cldn5, Egfl7, Flt1",
33,17950,02 NP-CT-L6b Glut,0.994,"Slc1a2, Khdrbs3, Slc17a7",
34,11501,28 CB GABA,1.0,"Kit, Slc6a1, Marchf11",
35,24447,34 Immune,1.0,"Hexb, Csf1r, Ctss",
36,4328,01 IT-ET Glut,0.988,"Kcnn2, Fezf2, Lamp5",
37,3579,05 OB-IMN GABA,1.0,"Ndnf, Ccdc85a, Kcnip2",
38,1251,09 CNU-LGE GABA,0.998,"Rreb1, Tac1, Syt6",
39,5510,34 Immune,1.0,"Csf1r, Laptm5, C1qa",
40,5732,04 DG-IMN Glut,0.999,"Plekhg5, Ppfia2, Rfx3",
41,962,23 P Glut,0.996,"Gls, Snhg11, Irx2",
42,3696,28 CB GABA,1.0,"Kit, Cdh22, Eml5",
43,6115,05 OB-IMN GABA,1.0,"Msi2, Spon1, Nxph1",
44,2098,05 OB-IMN GABA,1.0,"Lgr5, Ptpro, Th",
45,9357,Blood: Erythrocyte,1.0,"Col1a2, Col1a1, Sned1",
46,3312,33 Vascular,1.0,"Pdgfrb, Igfbp7, Vtn",
47,2782,30 Astro-Epen,1.0,"Atp1a2, Gpr37l1, Slc1a2",
48,750,29 CB Glut,1.0,"Tpbg, Zic1, Slc17a7",
49,1520,32 OEC,1.0,"Ptn, Fabp7, Ttyh1",
50,968,29 CB Glut,0.999,"Cldn11, Mobp, Trf",
