age,celltype,n_samples,mean_fraction,sem_fraction,min_fraction,max_fraction
E12.5,DSC,15,0.23977547141123928,0.019170891500628198,0.03105200863329388,0.3446258930674413
E12.5,JZP,15,0.116030092065908,0.006693568181603384,0.07164241453735293,0.15856353591160222
E12.5,Endothelium,15,0.09832710100104536,0.006179414702901414,0.05458469679036413,0.13022165387894288
E12.5,SpT,15,0.0730769260518907,0.00670101918552987,0.03814095956174712,0.1436036789297659
E12.5,LaTP,15,0.0676643491100776,0.0028459038776070815,0.05216829524347896,0.09225092250922509
E12.5,S-TGC,15,0.05594049249834413,0.0049084263527856544,0.027400486770825155,0.09197324414715718
E12.5,unassigned_immune,15,0.05303239132757139,0.004781945468900375,0.017266587760217226,0.07669425382145907
E12.5,NK,15,0.0462941771326573,0.004474800049130375,0.007797813827194876,0.07394766780432309
E12.5,Mesenchyme,15,0.043409136042147196,0.009759314256765734,0.024456521739130436,0.16890621736406045
E12.5,Yolk sac epithelial,15,0.03361676401195591,0.012875024587502821,0.00023300518436535214,0.15943744343103808
E12.5,Erythrocyte,15,0.033089336429104915,0.004363013770181921,0.015855457227138645,0.08138968182134651
E12.5,Parietal endoderm,15,0.030591215391592545,0.003162365423797806,0.015374193738403086,0.05514168349230662
E12.5,Myeloid,15,0.024899325041023396,0.0014016054242628941,0.015468227424749164,0.03385194657573174
E12.5,SynTI,15,0.02434636545657439,0.0013487214578145035,0.01623193087297101,0.039217995524673185
E12.5,GC,15,0.018514050744686004,0.0017466457830146121,0.008423408829853032,0.03046362815530169
E12.5,Epithelial,15,0.017016318965501633,0.003913463292193169,0.0016574585635359116,0.05936454849498328
E12.5,SynTII,15,0.013316815781979581,0.0010509776164794123,0.006056690624242913,0.019889502762430938
E12.5,B cell,15,0.005351500014013461,0.0008659214714251628,0.0018812709030100335,0.012915636163781259
E12.5,Megakaryocyte,15,0.004242744599173186,0.00045348483255092803,0.0014749262536873156,0.009399150595279538
E12.5,Lymphatic EC,15,0.001465426923514089,0.0003854613768217921,0.0,0.005184365352129085
E18.5,DSC,8,0.16559167835810631,0.012323026476726997,0.12250756061305039,0.21912813738441214
E18.5,Endothelium,8,0.1357837553346466,0.008218187716101315,0.10335153169548074,0.16887127060296264
E18.5,SpT,8,0.1341471988197541,0.00543190826732182,0.10474389282899921,0.15057547797964424
E18.5,GC,8,0.10895363946811112,0.00444784739154359,0.09092426455247235,0.13122455371124334
E18.5,SynTI,8,0.10673676741168486,0.006970483314451145,0.08099495862265767,0.1375262699267005
E18.5,Parietal endoderm,8,0.09596363917421669,0.009372822127509374,0.06925305355465079,0.15638935875749654
E18.5,Mesenchyme,8,0.06333172301429563,0.004940581300914203,0.04549590536851683,0.08338351599823357
E18.5,Yolk sac epithelial,8,0.06161244955135832,0.021112316239591398,0.01201752555810557,0.19155240346729707
E18.5,S-TGC,8,0.05605776726879759,0.007382434689611504,0.0308274231678487,0.10010431879824744
E18.5,SynTII,8,0.027592479253266723,0.004967179179307822,0.013126605155521736,0.04608129581218925
E18.5,Myeloid,8,0.016269078592913246,0.0018127049925383964,0.010937746256895193,0.02553724181097434
E18.5,unassigned_immune,8,0.010198472499559883,0.0006962839222489566,0.007135405800125182,0.01326963906581741
E18.5,B cell,8,0.007598815401249091,0.0017361789241166082,0.001690885072655218,0.014613192018948975
E18.5,Epithelial,8,0.005192380937876162,0.0023617344236486564,0.0005218997149624634,0.016454352441613588
E18.5,NK,8,0.0027686481524609296,0.00033086447224110933,0.0015659254619480112,0.004094905455859328
E18.5,Lymphatic EC,8,0.001069271028544728,0.0004653405597227302,0.0,0.0033292114524873964
E18.5,Erythrocyte,8,0.000521827948207636,0.00011328398413682957,0.00015852047556142668,0.0011276846583628069
E18.5,Megakaryocyte,8,0.0004497810669277148,0.00012402604939323606,7.582650894752806e-05,0.0012302014454866985
E18.5,JZP,8,0.00012028571090387749,4.298976647010332e-05,0.0,0.00037913254473764026
E18.5,LaTP,8,4.03410071187794e-05,1.4850803706610324e-05,0.0,0.00010568031704095113
