celltype,mean_fraction_E12.5,mean_fraction_E18.5,sem_fraction_E12.5,sem_fraction_E18.5,n_samples_E12.5,n_samples_E18.5
DSC,0.23977547141123928,0.16559167835810631,0.019170891500628198,0.012323026476726997,15.0,8.0
JZP,0.116030092065908,0.00012028571090387749,0.006693568181603384,4.298976647010332e-05,15.0,8.0
Endothelium,0.09832710100104536,0.1357837553346466,0.006179414702901414,0.008218187716101315,15.0,8.0
SpT,0.0730769260518907,0.1341471988197541,0.00670101918552987,0.00543190826732182,15.0,8.0
LaTP,0.0676643491100776,4.03410071187794e-05,0.0028459038776070815,1.4850803706610324e-05,15.0,8.0
S-TGC,0.05594049249834413,0.05605776726879759,0.0049084263527856544,0.007382434689611504,15.0,8.0
unassigned_immune,0.05303239132757139,0.010198472499559883,0.004781945468900375,0.0006962839222489566,15.0,8.0
NK,0.0462941771326573,0.0027686481524609296,0.004474800049130375,0.00033086447224110933,15.0,8.0
Mesenchyme,0.043409136042147196,0.06333172301429563,0.009759314256765734,0.004940581300914203,15.0,8.0
Yolk sac epithelial,0.03361676401195591,0.06161244955135832,0.012875024587502821,0.021112316239591398,15.0,8.0
Erythrocyte,0.033089336429104915,0.000521827948207636,0.004363013770181921,0.00011328398413682957,15.0,8.0
Parietal endoderm,0.030591215391592545,0.09596363917421669,0.003162365423797806,0.009372822127509374,15.0,8.0
Myeloid,0.024899325041023396,0.016269078592913246,0.0014016054242628941,0.0018127049925383964,15.0,8.0
SynTI,0.02434636545657439,0.10673676741168486,0.0013487214578145035,0.006970483314451145,15.0,8.0
GC,0.018514050744686004,0.10895363946811112,0.0017466457830146121,0.00444784739154359,15.0,8.0
Epithelial,0.017016318965501633,0.005192380937876162,0.003913463292193169,0.0023617344236486564,15.0,8.0
SynTII,0.013316815781979581,0.027592479253266723,0.0010509776164794123,0.004967179179307822,15.0,8.0
B cell,0.005351500014013461,0.007598815401249091,0.0008659214714251628,0.0017361789241166082,15.0,8.0
Megakaryocyte,0.004242744599173186,0.0004497810669277148,0.00045348483255092803,0.00012402604939323606,15.0,8.0
Lymphatic EC,0.001465426923514089,0.001069271028544728,0.0003854613768217921,0.0004653405597227302,15.0,8.0
