cluster,cell_type_fine,fraction,n_cells
0,SpT precursor,0.8846,12664
0,JZP,0.0484,693
0,GC precursor,0.0312,446
0,S-TGC precursor,0.0266,381
0,SpT,0.0063,90
1,JZP,0.7506,19658
1,GC precursor,0.1827,4785
1,LaTP2,0.0293,767
1,S-TGC precursor,0.0255,669
1,SpT precursor,0.0105,276
10,SpT,0.4324,2867
10,Neutrophil,0.3075,2039
10,SynTI,0.1184,785
10,S-TGC,0.0535,355
10,SynTII,0.0222,147
11,Erythrocyte,0.4866,4361
11,Nourishing DSC,0.0792,710
11,JZP,0.0625,560
11,LaTP2,0.0452,405
11,LaTP,0.0434,389
12,Angiogenic DSC,0.8314,21536
12,Nourishing DSC,0.119,3082
12,Neutrophil,0.0154,399
12,SpT,0.0139,360
12,S-TGC precursor,0.0088,227
13,S-TGC,0.6457,7169
13,P-TGC,0.1072,1190
13,SpT precursor,0.0968,1075
13,S-TGC precursor,0.0613,681
13,SpT,0.0385,427
14,LaTP2,0.4622,7247
14,LaTP,0.3442,5397
14,SynTI precursor,0.0899,1410
14,S-TGC precursor,0.0407,639
14,SynTII precursor,0.0334,524
15,SynTI,0.9698,5457
15,SynTI precursor,0.021,118
15,SpT precursor,0.002,11
15,S-TGC precursor,0.0018,10
15,JZP,0.0016,9
16,Venous EC,0.8285,5911
16,Angiogenic EC,0.0565,403
16,Proliferating EC,0.0242,173
16,Nourishing DSC,0.0234,167
16,Neutrophil,0.0168,120
17,NK,0.8989,10546
17,T cell,0.0593,696
17,Nourishing DSC,0.0066,78
17,Neutrophil,0.006,70
17,JZP,0.0045,53
18,Nourishing DSC,0.6541,1916
18,Endometrium stroma,0.2526,740
18,DSC precursor,0.0854,250
18,Neutrophil,0.0027,8
18,Monocyte,0.002,6
19,Venous EC,0.958,10517
19,Nourishing DSC,0.0101,111
19,Neutrophil,0.0094,103
19,JZP,0.0056,61
19,S-TGC precursor,0.005,55
2,S-TGC precursor,0.8774,6456
2,S-TGC,0.054,397
2,P-TGC,0.0484,356
2,LaTP2,0.0147,108
2,JZP,0.0034,25
20,SynTII,0.7792,6042
20,SynTII precursor,0.1496,1160
20,Neutrophil,0.0235,182
20,SynTI,0.0183,142
20,SpT,0.0083,64
21,SynTI,0.9926,18799
21,Neutrophil,0.0041,78
21,SpT,0.0025,47
21,S-TGC precursor,0.0002,4
21,Angiogenic DSC,0.0002,4
22,Macrophage,0.4967,4685
22,Monocyte,0.2359,2225
22,DC,0.1055,995
22,Neutrophil,0.0425,401
22,Nourishing DSC,0.0244,230
23,Neutrophil,0.8441,1576
23,Monocyte,0.0536,100
23,JZP,0.0241,45
23,GC precursor,0.0129,24
23,Macrophage,0.0086,16
24,Proliferating EC,0.8243,5493
24,Angiogenic EC,0.0864,576
24,Neutrophil,0.0204,136
24,S-TGC precursor,0.0195,130
24,JZP,0.0165,110
25,Angiogenic EC,0.5681,1786
25,Proliferating EC,0.3448,1084
25,Venous EC,0.0359,113
25,S-TGC precursor,0.0143,45
25,Neutrophil,0.008,25
26,Mesenchyme,0.3592,5174
26,S-TGC precursor,0.274,3947
26,LaTP,0.092,1326
26,Neutrophil,0.0856,1233
26,LaTP2,0.0632,910
27,Mesenchyme,0.4317,3608
27,S-TGC precursor,0.2653,2217
27,Neutrophil,0.0749,626
27,JZP,0.05,418
27,LaTP2,0.045,376
28,S-TGC precursor,0.3122,64
28,Nourishing DSC,0.2,41
28,DSC precursor,0.1707,35
28,Endometrium stroma,0.161,33
28,Neutrophil,0.0341,7
