cluster,n_cells,majority_label,majority_fine,purity_collapsed,purity_fine,runner_up_fine,runner_up_fine_frac,same_lineage_runner,mean_gap,median_top_corr,flags,marker_audit
8,28118,DSC,Angiogenic DSC,0.998,0.665,Nourishing DSC,0.333,True,0.0302,0.242,,
1,26188,JZP,JZP,0.751,0.751,GC precursor,0.183,True,0.0383,0.269,,
12,25904,DSC,Angiogenic DSC,0.958,0.831,Nourishing DSC,0.119,True,0.0408,0.207,,
6,25425,DSC,Nourishing DSC,0.999,0.984,Angiogenic DSC,0.015,True,0.0781,0.266,,
31,20914,Endothelium,Angiogenic EC,0.99,0.956,Proliferating EC,0.034,True,0.0306,0.204,,
39,19966,GC,GC,0.831,0.801,SpT,0.073,False,0.0367,0.242,low_confidence_different_lineage,
21,18939,SynTI,SynTI,0.993,0.993,Neutrophil,0.004,False,0.196,0.365,,
32,18241,Yolk sac epithelial,Yolk sac epithelial,0.963,0.963,Neutrophil,0.01,False,0.0853,0.208,contamination_putative,
5,18025,SpT,SpT,0.999,0.963,SpT precursor,0.036,True,0.0872,0.315,,
14,15681,LaTP,LaTP2,0.806,0.462,LaTP,0.344,True,0.0238,0.261,,
26,14406,Mesenchyme,Mesenchyme,0.359,0.359,S-TGC precursor,0.274,False,0.0143,0.105,low_purity_mixed,
0,14316,SpT,SpT precursor,0.891,0.885,JZP,0.048,False,0.0799,0.311,,
17,11732,NK,NK,0.962,0.899,T cell,0.059,True,0.1682,0.293,,"conf=Ncr1,Klrb1c,Gzmb;sub=NK(Ncr1,Klrb1c,Gzmb,Eomes)"
13,11102,S-TGC,S-TGC,0.707,0.646,P-TGC,0.107,False,0.0452,0.332,low_confidence_different_lineage,
19,10978,Endothelium,Venous EC,0.959,0.958,Nourishing DSC,0.01,False,0.1208,0.233,,
4,10883,unassigned_immune,Neutrophil,0.485,0.485,JZP,0.182,False,0.0171,0.118,low_purity_mixed;marker_gate_fail:Neutrophil,conf=S100a8
22,9433,Myeloid,Macrophage,0.733,0.497,Monocyte,0.236,True,0.0355,0.17,,
40,9028,Parietal endoderm,Parietal endoderm,0.886,0.886,S-TGC precursor,0.055,False,0.0392,0.162,low_confidence_different_lineage;contamination_putative,
11,8963,Erythrocyte,Erythrocyte,0.487,0.487,Nourishing DSC,0.079,False,0.0553,0.163,low_purity_mixed,
27,8358,Mesenchyme,Mesenchyme,0.432,0.432,S-TGC precursor,0.265,False,0.0169,0.109,low_purity_mixed,
34,7844,Parietal endoderm,Parietal endoderm,0.957,0.957,SpT,0.011,False,0.0772,0.181,contamination_putative,
20,7754,SynTII,SynTII,0.929,0.779,SynTII precursor,0.15,True,0.0513,0.243,,
33,7707,Parietal endoderm,Parietal endoderm,0.643,0.643,LaTP,0.183,False,0.0289,0.149,low_confidence_different_lineage;contamination_putative,
2,7358,S-TGC,S-TGC precursor,0.931,0.877,S-TGC,0.054,True,0.061,0.346,,
16,7135,Endothelium,Venous EC,0.909,0.828,Angiogenic EC,0.056,True,0.0428,0.153,,
24,6664,Endothelium,Proliferating EC,0.917,0.824,Angiogenic EC,0.086,True,0.0327,0.183,,
10,6630,SpT,SpT,0.448,0.432,Neutrophil,0.308,False,0.0272,0.15,low_purity_mixed,
15,5627,SynTI,SynTI,0.991,0.97,SynTI precursor,0.021,True,0.1259,0.34,,
35,4399,Epithelial,Epithelial,0.799,0.799,S-TGC precursor,0.047,False,0.0756,0.171,,
9,4328,DSC,Endometrium stroma,0.947,0.591,Nourishing DSC,0.236,True,0.0265,0.155,,
3,3882,GC,GC precursor,0.988,0.984,SpT precursor,0.008,False,0.0769,0.334,,
43,3424,Yolk sac epithelial,Yolk sac epithelial,0.951,0.951,SynTI,0.021,False,0.0408,0.167,low_confidence_different_lineage;contamination_putative,
25,3144,Endothelium,Angiogenic EC,0.949,0.568,Proliferating EC,0.345,True,0.0183,0.153,,
36,3005,B cell,B cell,0.862,0.859,Nourishing DSC,0.018,False,0.0605,0.179,,"conf=Gzmb,Cd19,Ms4a1;sub=B cell(Cd19,Ms4a1,Cd79a,Cd79b)"
18,2929,DSC,Nourishing DSC,0.993,0.654,Endometrium stroma,0.253,True,0.027,0.188,,
7,2540,DSC,Nourishing DSC,0.968,0.489,Angiogenic DSC,0.479,True,0.0181,0.175,,
29,1922,S-TGC,S-TGC precursor,0.539,0.539,Mesenchyme,0.114,False,0.0122,0.105,low_confidence_different_lineage,
23,1867,unassigned_immune,Neutrophil,0.844,0.844,Monocyte,0.054,False,0.0409,0.171,low_confidence_different_lineage;marker_gate_fail:Neutrophil,"conf=S100a8,S100a9,Csf3r"
38,1360,unassigned_immune,Neutrophil,0.57,0.57,SpT,0.108,False,0.022,0.13,low_confidence_different_lineage;marker_gate_fail:Neutrophil,conf=S100a8
42,1341,S-TGC,S-TGC precursor,0.295,0.295,SynTI,0.225,False,0.0111,0.107,low_purity_mixed,
30,1108,Megakaryocyte,Megakaryocyte,0.587,0.587,LaTP,0.115,False,0.1311,0.221,,"conf=Pf4,Itga2b,Gp1ba,Gp9,Ppbp"
37,501,Lymphatic EC,Lymphatic EC,0.956,0.956,Neutrophil,0.012,False,0.0824,0.186,,
41,228,S-TGC,S-TGC precursor,0.461,0.456,Neutrophil,0.167,False,0.0131,0.088,low_purity_mixed,
28,205,DSC,S-TGC precursor,0.546,0.312,Nourishing DSC,0.2,False,0.0111,0.091,low_confidence_different_lineage,
44,136,LaTP,LaTP,0.794,0.603,LaTP2,0.191,True,0.0093,0.132,,
