group,names,scores,logfoldchanges,pvals,pvals_adj
6,Gatm,249.69597,5.323455,0.0,0.0
8,Xdh,247.81293,4.53722,0.0,0.0
6,Rrm2,244.21768,4.507625,0.0,0.0
6,Wt1,243.91702,4.9076014,0.0,0.0
8,Htra3,241.64479,4.600806,0.0,0.0
8,Gramd1b,241.19472,4.4090424,0.0,0.0
1,Ppp2r2c,239.88148,5.1041746,0.0,0.0
8,Rsrp1,239.29066,2.110149,0.0,0.0
31,Igf2,239.1319,4.8427925,0.0,0.0
6,Cxcl14,238.3764,4.6085196,0.0,0.0
6,Vill,237.1143,4.192661,0.0,0.0
31,Igfbp7,235.72044,6.0553656,0.0,0.0
8,Ampd3,235.46364,4.414747,0.0,0.0
8,Usp53,235.16954,4.296315,0.0,0.0
1,Fstl3,235.15225,4.0293713,0.0,0.0
6,Tnfaip2,234.81416,4.1363583,0.0,0.0
6,A2m,233.72214,5.3278985,0.0,0.0
8,Cyp11a1,233.64821,4.0449705,0.0,0.0
6,Tmem150a,233.2737,4.639043,0.0,0.0
6,Ampd3,232.66223,4.6549087,0.0,0.0
31,Mest,231.75562,5.92684,0.0,0.0
1,Sct,231.56421,3.186313,0.0,0.0
6,Sorbs2,230.98065,4.4839816,0.0,0.0
8,Samhd1,230.83011,3.968322,0.0,0.0
8,Ugcg,229.64745,3.5520916,0.0,0.0
6,Hand2,228.68175,4.686903,0.0,0.0
1,Derl3,228.46104,4.3827853,0.0,0.0
1,Pitrm1,228.02574,3.5848658,0.0,0.0
31,Dlk1,227.0476,6.2010813,0.0,0.0
6,Rrm1,226.83063,3.6660798,0.0,0.0
8,Eva1c,226.71442,4.298004,0.0,0.0
6,Add3,226.69954,4.4972367,0.0,0.0
8,Adamts2,226.1027,3.8923888,0.0,0.0
31,Pde9a,226.00607,6.0192833,0.0,0.0
32,Afp,225.37828,6.240901,0.0,0.0
12,Inhba,224.71266,5.2638335,0.0,0.0
31,Plvap,223.75793,7.132896,0.0,0.0
5,Tpbpb,222.71948,4.6950088,0.0,0.0
8,A4galt,222.15408,3.4195378,0.0,0.0
5,Cts3,221.95128,6.36239,0.0,0.0
31,Adgrl4,221.88036,6.4562016,0.0,0.0
5,Maged1,221.86131,4.628473,0.0,0.0
1,Palm,221.8318,3.4591317,0.0,0.0
31,Acer2,221.6257,5.613508,0.0,0.0
32,Cubn,221.14114,7.915631,0.0,0.0
6,Ripor3,221.12425,4.745971,0.0,0.0
31,Acvrl1,220.78836,4.9837885,0.0,0.0
8,Tnfaip2,220.62038,3.6048255,0.0,0.0
31,Rtl1,220.52751,7.7535124,0.0,0.0
1,Rap1gap,220.28668,4.0082617,0.0,0.0
6,Nccrp1,219.66354,4.1068273,0.0,0.0
6,Nampt,219.16687,3.9729083,0.0,0.0
8,Ahnak2,219.04459,3.7267206,0.0,0.0
6,Des,219.00424,3.7613223,0.0,0.0
31,Adam23,218.5489,7.057164,0.0,0.0
12,Usp53,218.51859,4.222724,0.0,0.0
5,Fbln7,218.19443,5.1457872,0.0,0.0
32,Trf,218.09116,5.397548,0.0,0.0
32,Apoa1,218.02472,5.2076373,0.0,0.0
6,Adamts2,217.4187,3.9130597,0.0,0.0
5,Taf7l,217.06195,5.6844897,0.0,0.0
6,Kdsr,216.87837,3.186878,0.0,0.0
1,Car2,216.812,3.2706175,0.0,0.0
6,Hoxd10,216.51189,5.133861,0.0,0.0
31,Pecam1,216.32553,4.9082994,0.0,0.0
5,Psg27,216.27884,4.34282,0.0,0.0
5,Ceacam14,215.83545,4.567719,0.0,0.0
1,Fam168a,215.64427,3.2568138,0.0,0.0
8,Urb1,215.07635,3.8344636,0.0,0.0
8,Slc6a12,213.43877,3.7150126,0.0,0.0
5,Psg21,212.14476,4.3981233,0.0,0.0
1,Kctd17,212.14272,2.9213316,0.0,0.0
5,Ceacam11,212.07077,4.223874,0.0,0.0
32,Apob,211.9119,5.8465533,0.0,0.0
8,Slco5a1,211.88696,3.9353914,0.0,0.0
31,Timp3,211.16327,5.0280304,0.0,0.0
8,Clec2d,211.05997,3.4472466,0.0,0.0
21,Macf1,210.63625,3.8001416,0.0,0.0
32,Apoa4,210.5026,5.1857986,0.0,0.0
5,Prl8a6,210.05154,5.152204,0.0,0.0
5,Mgat4a,209.78656,4.3793383,0.0,0.0
1,Acin1,209.46596,1.8399745,0.0,0.0
31,Egfl7,209.36281,5.4211497,0.0,0.0
8,Vmp1,209.13622,2.724924,0.0,0.0
1,Sfmbt2,208.98431,3.2896051,0.0,0.0
8,Dtna,208.70587,3.9333818,0.0,0.0
5,F11,208.3849,6.880213,0.0,0.0
1,Cdhr5,208.05836,4.27009,0.0,0.0
21,Septin4,207.63652,5.6216063,0.0,0.0
31,Sox17,207.01158,5.2312956,0.0,0.0
5,Ceacam12,205.74487,4.221113,0.0,0.0
5,Fgfr1,205.25488,3.7300692,0.0,0.0
31,Hecw2,205.18439,6.0183177,0.0,0.0
21,Gjb2,205.18073,4.1029096,0.0,0.0
21,Lrp8,204.04976,5.4861927,0.0,0.0
32,Lrp2,203.88048,6.80904,0.0,0.0
21,Snap91,203.87802,6.2466836,0.0,0.0
5,Psg26,203.59457,5.171691,0.0,0.0
31,Maged2,203.30136,4.5945706,0.0,0.0
5,Flt1,202.17152,3.8134892,0.0,0.0
31,Tmem100,202.15732,6.891156,0.0,0.0
5,Psg28,202.03957,4.899161,0.0,0.0
31,Clec14a,201.48549,6.539515,0.0,0.0
5,Tpbpa,201.27638,2.1439614,0.0,0.0
31,Eng,201.11789,4.5752416,0.0,0.0
32,Dab2,201.05888,4.768052,0.0,0.0
5,Ceacam5,200.8572,4.0940533,0.0,0.0
21,Slco4a1,200.78969,5.190993,0.0,0.0
21,Tns4,200.60342,5.346127,0.0,0.0
12,Htra3,200.29129,3.8884552,0.0,0.0
1,Snd1,200.2237,1.8677958,0.0,0.0
5,Prodh,199.95178,5.7020206,0.0,0.0
32,Ttr,199.92863,4.8483686,0.0,0.0
21,Tfrc,198.8736,4.4184265,0.0,0.0
12,Vmp1,198.70164,2.82946,0.0,0.0
21,Lipg,198.42711,4.7606997,0.0,0.0
21,Amot,198.26797,4.6853223,0.0,0.0
39,Flt1,197.28494,3.5578856,0.0,0.0
21,Slc2a1,196.03871,3.4433777,0.0,0.0
1,Adcy7,195.85756,3.1548939,0.0,0.0
32,Myo15b,195.23834,5.5527997,0.0,0.0
1,Taf1d,194.72491,2.3751235,0.0,0.0
21,Car4,194.4157,3.9699895,0.0,0.0
1,Tbrg1,193.90503,2.041208,0.0,0.0
21,Ltbp3,193.89546,5.169028,0.0,0.0
12,Fndc3a,193.0947,2.4873686,0.0,0.0
1,Ptprf,192.8178,2.9629796,0.0,0.0
21,Med12l,192.81166,5.40659,0.0,0.0
21,Fabp3,192.6742,4.123901,0.0,0.0
21,Cd320,191.73238,4.5168104,0.0,0.0
