cluster,n_cells,assigned_label,pct_E12.5,pct_E18.5,epc_qc_pass,epc_markers_present
8,28118,DSC,98.8,1.2,True,
1,26188,JZP,99.9,0.1,True,Cdx2
12,25904,DSC,3.1,96.9,True,
6,25425,DSC,99.5,0.5,True,
31,20914,Endothelium,2.0,98.0,True,
39,19966,GC,2.5,97.5,True,Cdx2
21,18939,SynTI,1.7,98.3,True,
32,18241,Yolk sac epithelial,50.2,49.8,True,
5,18025,SpT,2.7,97.3,True,
14,15681,LaTP,100.0,0.0,True,
26,14406,Mesenchyme,53.3,46.7,True,
0,14316,SpT,99.8,0.2,True,
17,11732,NK,95.9,4.1,True,Eomes
13,11102,S-TGC,17.5,82.5,True,
19,10978,Endothelium,91.5,8.5,True,
4,10883,unassigned_immune,98.8,1.2,True,Cdx2
22,9433,Myeloid,69.0,31.0,True,
40,9028,Parietal endoderm,0.7,99.3,True,Cdx2
11,8963,Erythrocyte,99.0,1.0,True,
27,8358,Mesenchyme,42.3,57.7,True,
34,7844,Parietal endoderm,3.2,96.8,True,
20,7754,SynTII,37.8,62.2,True,
33,7707,Parietal endoderm,95.8,4.2,True,
2,7358,S-TGC,99.6,0.4,True,Elf5
16,7135,Endothelium,90.0,10.0,True,
24,6664,Endothelium,99.7,0.3,True,
10,6630,SpT,5.2,94.8,True,Cdx2
15,5627,SynTI,99.5,0.5,True,
35,4399,Epithelial,83.2,16.8,True,
9,4328,DSC,28.2,71.8,True,
3,3882,GC,99.4,0.6,True,Cdx2
43,3424,Yolk sac epithelial,0.1,99.9,True,
25,3144,Endothelium,26.5,73.5,True,
36,3005,B cell,54.3,45.7,True,
18,2929,DSC,98.6,1.4,True,
7,2540,DSC,97.6,2.4,True,
29,1922,S-TGC,99.5,0.5,True,
23,1867,unassigned_immune,62.7,37.3,True,
38,1360,unassigned_immune,27.8,72.2,True,
42,1341,S-TGC,45.5,54.5,True,
30,1108,Megakaryocyte,92.7,7.3,True,
37,501,Lymphatic EC,68.3,31.7,True,
41,228,S-TGC,62.3,37.7,True,
28,205,DSC,49.3,50.7,True,
44,136,LaTP,100.0,0.0,True,
