cluster,n_cells,top_markers,manual_annotation
0,14316,"Bhlhe41, Pappa2, Adcy7",
1,26188,"Ppp2r2c, Fstl3, Sct",
2,7358,"Exoc3l4, Igf2bp1, Plec",
3,3882,"Car2, Sct, Pla2g4d",
4,10883,"Gzmf, Prl7a1, Prl7d1",
5,18025,"Tpbpb, Cts3, Maged1",
6,25425,"Gatm, Rrm2, Wt1",
7,2540,"Abcc5, Ampd3, Wt1",
8,28118,"Xdh, Htra3, Gramd1b",
9,4328,"Ctla2a, Gpx3, Mmp14",
10,6630,"Prl3b1, Ctsj, Tpbpa",
11,8963,"Ermap, Hbb-y, Kel",
12,25904,"Inhba, Usp53, Htra3",
13,11102,"Ctsj, Fnd3c2, Ctsq",
14,15681,"Sfmbt2, Mybl2, Gata2",
15,5627,"Car4, Caskin1, Plekhd1",
16,7135,"Egfl7, Ldb2, Pecam1",
17,11732,"Dock2, Acap1, Runx3",
18,2929,"Lbp, Col3a1, Ctla2a",
19,10978,"Hdac9, Adgrf5, Ramp3",
20,7754,"Gcgr, Slc13a4, Vegfa",
21,18939,"Macf1, Septin4, Gjb2",
22,9433,"Ctss, Ifi207, Cyth4",
23,1867,"Csf3r, Slfn4, Lilrb4a",
24,6664,"Maged2, Magel2, Mest",
25,3144,"Egfl7, Ptprb, Fgd5",
26,14406,"Col1a1, Plagl1, Col1a2",
27,8358,"Mcam, Flna, Mylk",
28,205,"Tpm2, Myh11, Flna",
29,1922,"Col1a1, Col1a2, Col9a2",
30,1108,"Arhgap45, Itga2b, Syk",
31,20914,"Igf2, Igfbp7, Mest",
32,18241,"Afp, Cubn, Trf",
33,7707,"Lama1, Pth1r, Col4a1",
34,7844,"Pth1r, Lama1, Cacna1d",
35,4399,"Prap1, Bcat1, C3",
36,3005,"Ighm, Ighd, Igkc",
37,501,"Mmrn1, Ltbp4, Flt4",
38,1360,"Gadd45b, Txnip, Ppp1r15a",
39,19966,"Flt1, Pappa2, Nuak1",
40,9028,"Aqp8, Atp2b1, Aifm3",
41,228,"Gria2, Ptprs, Ank3",
42,1341,"Ppl, Upk3b, Msln",
43,3424,"Hsd3b1, Vdr, Fgb",
44,136,"Itih2, Alb, Dlk1",
